Mc_value,Mc_std,b_value,b_value_std,a_value,a_value_std,power_fit,Additional_Runs_b_std,Additional_Runs_Mc_std,failreason,nEvents_gt_local_Mc,RadiusKm,x,y,max_mag,Number_of_Events,was_evaluated
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-74.9132006162743,10.3932736626821,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-74.9137305928106,10.5740874277322,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-74.9142702363351,10.7548991251312,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-74.9148195745352,10.9357087212173,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-74.7204514983367,4.06375634276491,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-74.720615598347,4.24462070565552,NaN,0,0
1.2,NaN,1.0423067565678,0.191491512456295,2.42685936693705,NaN,NaN,NaN,NaN,NaN,15,14.2542722365937,-74.720786909264,4.42548422218928,2.1,30,1
1.3,NaN,0.904481069748921,0.0688784367000974,3.27619593579116,NaN,NaN,NaN,NaN,NaN,126,14.994740649486,-74.7209654395787,4.60634685658988,2.8,241,1
1.6,NaN,1.24934029040661,0.0973817071508789,4.09931500976815,NaN,NaN,NaN,NaN,NaN,126,14.995355854338,-74.7211511981453,4.78720857311705,2.8,501,1
1.3,NaN,1.13035550084408,0.0803587094369718,3.65130573904208,NaN,NaN,NaN,NaN,NaN,152,14.9942641346979,-74.7213441941818,4.96806933606801,2.9,327,1
1.2,NaN,1.07980322003268,0.0709748809562262,3.55583525202428,NaN,NaN,NaN,NaN,NaN,182,14.9925153501692,-74.7215444372714,5.14892910977894,2.8,328,1
1.4,NaN,1.09716500691348,0.110879212006011,3.39336350611014,NaN,NaN,NaN,NaN,NaN,72,14.9902533657592,-74.721751937364,5.3297878586264,2.7,189,1
1.2,NaN,1.06810243809152,0.134024496909816,3.00599879531062,NaN,NaN,NaN,NaN,NaN,53,14.9805017013619,-74.7219667047766,5.51064554702881,2.7,111,1
1.2,NaN,1.21992831995295,0.149412918043616,3.16288398827956,NaN,NaN,NaN,NaN,NaN,50,14.8232083520025,-74.7221887501952,5.69150213944793,2.5,99,1
1.5,NaN,1.52661090608416,0.320640421784886,3.75231435702519,NaN,NaN,NaN,NaN,NaN,29,14.9793309334166,-74.722418084676,5.87235760039023,2.6,120,1
1.5,NaN,5.21153378283901,2.08227313500821,8.81557530726208,NaN,NaN,NaN,NaN,NaN,3,14.6377252713571,-74.7226547196466,6.05321189440842,1.7,21,1
1.5,NaN,0.941843454729945,0.178330728557038,2.66803768719822,NaN,NaN,NaN,NaN,NaN,18,14.7370933624044,-74.7228986669075,6.23406498610285,2.9,78,1
1.5,NaN,1.04829702528371,0.170602436862453,3.01960356926779,NaN,NaN,NaN,NaN,NaN,28,14.9383099873156,-74.7231499386334,6.41491684012294,2.6,103,1
1.3,NaN,0.884192358365903,0.127286977589755,2.68092898291793,NaN,NaN,NaN,NaN,NaN,34,14.9648835117935,-74.7234085473752,6.59576742116867,2.7,61,1
1.4,NaN,0.764358288149722,0.189012785381151,2.18793011738281,NaN,NaN,NaN,NaN,NaN,11,14.5909424691299,-74.7236745060606,6.77661669399199,2.8,20,1
1.7,NaN,0.868588963806504,0.780852425628082,1.77763123413504,NaN,NaN,NaN,NaN,NaN,2,14.9658700092166,-74.7239478279968,6.95746462339826,2.6,7,1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-74.7242285268713,7.13831117424768,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-74.7245166167539,7.31915631145671,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-74.7248121120985,7.49999999999954,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-74.7251150277449,7.68084220490948,NaN,0,0
